Username,Score,Subject
omkaar,9,Science
omkaar,7,Science
omkaar,0,Pop Culture
omkaar,9,Mathematics
omkaar,3,Sports
omkaar,9,Mythology
abc,2,Current Affairs
omkaar,7,Technology
omkaar,8,Science
omkaar,9,History
omkaar,8,History
omkaar,8,History
omkaar,8,History
omkaar,9,Geography
omkaar,9,History
omkaar,5,History
omkaar,8,History
omkaar,9,History
omkaar,10,History
omkaar,9,History
omkaar,7,History
omkaar,4,History
omkaar,10,History
omkaar,8,History
omkaar,2,History
omkaar,9,History
omkaar,8,History
Krishna Bansal,9,History
omkaar,10,Technology
