Username,Score,Subject
admin,9,History
admin,0,History
omkaar,9,History
omkaar,8,History
omkaar,9,History
omkaar,8,History
omkaar,5,Science
omkaar,6,Science
omkaar,6,Science
omkaar,8,Literature
omkaar,6,Sports
omkaar,7,Sports
omkaar,4,General Knowledge
omkaar,8,Science
omkaar,8,Sports
omkaar,6,General Knowledge
omkaar,10,Pop Culture
omkaar,7,Geography
omkaar,8,Current Affairs
omkaar,9,Technology
omkaar,7,Sports
omkaar,8,Literature
omkaar,8,Geography
omkaar,6,Mythology
omkaar,8,Entertainment
omkaar,9,Technology
omkaar,8,Current Affairs
omkaar,9,Current Affairs
omkaar,7,Sports
omkaar,9,Geography
omkaar,7,Mathematics
omkaar,9,Technology
omkaar,8,Entertainment
omkaar,9,Entertainment
omkaar,9,Technology
omkaar,10,Sports
omkaar,10,History
omkaar,10,Mythology
omkaar,10,Science
omkaar,6,Literature
omkaar,10,Geography
omkaar,10,Sports
omkaar,10,Geography
omkaar,10,Geography
omkaar,10,Geography
omkaar,7,Geography
omkaar,4,Geography
omkaar,9,Sports
omkaar,10,Entertainment
omkaar,10,Sports
omkaar,10,Literature
